"dado";"grupo";"tecido";"semana";"elemento";"agrupamento";"item";"nbr.val";"nbr.null";"nbr.na";"min";"max";"range";"sum";"median";"mean";"SE.mean";"CI.mean.0.95";"var";"std.dev";"coef.var"
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cf";"Cu";66419;0;0;0,000148192;405857;405856,999851808;4863401,34885368;45,6118;73,2230438406733;7,14815090738392;14,0103736517107;3393749,30177681;1842,21315318744;25,1589261598566
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cf";"Zn";66419;0;0;0,000277124;91521,1;91521,099722876;17002638,0466836;236,576;255,990575688938;2,27256221537534;4,45422126598898;343023,517352144;585,682095809786;2,28790491303659
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"P";5188;0;0;0,00848025;3649,33;3649,32151975;1847365,55763345;99,22415;356,084340330272;6,2103258788126;12,1748559950311;200091,549339205;447,31593906232;1,25620783729897
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"S";5188;0;0;0,314748;24884,1;24883,785252;3562131,975408;203,392;686,609864188126;12,8926005827534;25,2749305848807;862344,949091914;928,625300695557;1,35247882258959
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"K";5188;0;0;38,0607;81806,5;81768,4393;27581421,9306;2830,525;5316,38819016962;87,0213973153013;170,598612935067;39287289,9885907;6267,9574016254;1,1789879101032
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"Ca";5188;0;0;0,00186274;30158;30157,99813726;1500709,29691382;87,70875;289,265477431345;9,95276871792985;19,5116211704843;513910,855531705;716,875760178641;2,47826241328361
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"Mn";5188;0;0;0,00186187;1173,21;1173,20813813;132838,42365027;21,22555;25,6049390227968;0,364282338439512;0,714146906068996;688,456015449399;26,2384453702844;1,02474156829366
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"Fe";5188;0;0;5,19269e-05;487929;487928,999948073;8775878,60278403;298,588;1691,57259113031;102,145095906823;200,247435888499;54129623,7652194;7357,28372194653;4,34937510841933
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"Cu";5188;0;0;0,00905381;47635,5;47635,49094619;349253,12599861;48,27295;67,3194151886295;9,20012999826584;18,0361320887509;439124,729618133;662,66486976309;9,8435921926282
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"cp";"Zn";5188;0;0;0,00137221;28056,7;28056,69862779;787130,3892122;33,9076;151,721354898265;6,65712416881895;13,0507689415983;229918,163808793;479,497824613202;3,16038454135031
