row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  9.0622  5.66795  8.42338  5.94551  12.3026  6.852  3511.22  60.9484  4.99817  10.1802  1407.2  38.6425  3.94689  9.04496  12.1792  6.92577  11.6357  8.61812  24.7285  10.3031  0.387293  0.00101158  0.000318026  0.000212529  0.0336519  2.66682e-05  0.00464765  4.3703e-06  1.3174e-05  1.75697e-05  4.67083e-05
1  0  30.1185  18.5266  55.4261  16.9364  312.65  26.0458  2910.92  61.6069  532.747  38.0702  61498.6  250.038  7.09009  8.65302  1115.85  37.3958  3.31751  14.6382  2867.51  56.6774  1.47467  0.00336203  0.00209262  0.00540104  0.0278986  0.00284252  0.203116  7.85069e-06  0.001207  5.00938e-06  0.00541629
2  0  1.33933  4.98177  3.72591  5.50866  48.2045  9.44889  3566.32  60.5217  19.1782  10.6425  1728.05  42.404  0.214373  8.27504  9.90787  6.89987  8.49124  9.10637  32.6051  10.8335  0.378547  0.000149505  0.000140672  0.000832735  0.03418  0.000102327  0.00570734  2.3737e-07  1.07172e-05  1.28216e-05  6.15861e-05
3  0  5.90573  5.49665  6.02186  5.73919  24.2197  7.57514  3685.98  61.4915  2.42305  8.08259  344.155  20.1623  10.8818  13.4327  18.0532  7.12961  10.0824  8.03586  8.29461  8.71281  0.41211  0.000659237  0.000227356  0.000418397  0.0353268  1.29284e-05  0.00113666  1.20492e-05  1.95279e-05  1.52243e-05  1.56672e-05
4  0  9.06805  4.97183  8.89842  5.29673  25.6514  7.53285  3768.99  62.2512  5.88735  10.3829  265.859  17.8275  1.34758  14.0402  14.628  6.81351  0.937212  7.9038  11.8611  9.16997  0.390082  0.00101224  0.000335961  0.000443129  0.0361224  3.14125e-05  0.000878069  1.49214e-06  1.58229e-05  1.41517e-06  2.24037e-05
5  0  4.38366  5.46306  1.46638  5.49352  24.2494  8.25439  3693.19  61.6096  3.72774  9.89293  205.965  16.0089  5.97393  14.5388  12.9054  6.44311  11.48  8.4978  11.7128  9.03012  0.360079  0.000489333  5.53633e-05  0.00041891  0.0353959  1.98897e-05  0.000680253  6.61479e-06  1.39596e-05  1.73346e-05  2.21236e-05
6  0  9.29626  5.0475  10.1209  6.0538  78.424  11.0019  3726.19  61.7831  6.61182  9.83148  187.883  15.2222  8.7202  12.5014  11.177  6.55082  1.09507  6.67038  9.94426  8.06196  0.371487  0.00103771  0.000382114  0.00135478  0.0357122  3.5278e-05  0.000620533  9.65568e-06  1.209e-05  1.65353e-06  1.87832e-05
7  0  10.7233  5.1533  7.92988  5.75026  269.781  18.5745  3726.39  62.3272  129.091  16.4368  161.547  14.6046  0.797867  12.5945  10.2608  6.77074  1.60893  7.5023  12.0041  9.12407  0.362484  0.001197  0.000299394  0.00466048  0.0357141  0.000688779  0.000533552  8.8346e-07  1.1099e-05  2.42945e-06  2.2674e-05
8  0  8.65547  5.26609  15.0302  6.75912  319.458  20.4992  3848.42  64.1901  166.196  18.4355  130.843  13.392  4.06521  11.6436  3.49735  5.84962  4.44213  6.89595  4.938  7.44584  0.357891  0.000966181  0.000567469  0.00551866  0.0368837  0.000886754  0.000432143  4.50131e-06  3.78304e-06  6.70753e-06  9.32712e-06
9  0  1.03434  5.47001  8.96899  6.87211  474.348  24.39  3730.08  63.4234  258.586  22.1201  83.0746  12.5099  4.51474  10.9148  7.8183  5.81053  2.66819  7.48593  5.87296  8.23555  0.378048  0.00011546  0.000338625  0.00819439  0.0357495  0.00137971  0.000274376  4.99907e-06  8.45695e-06  4.02892e-06  1.10931e-05
