row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  13.5906  5.15945  9.92102  5.36185  21.4143  6.49207  3624.84  60.786  5.57432  9.47747  65.7197  9.73353  7.35499  12.6299  4.92842  5.8885  0.271491  7.05047  4.08426  7.32374  0.419766  0.00151708  0.000374569  0.000369932  0.0347408  2.97423e-05  0.000217057  8.14401e-06  5.331e-06  4.09946e-07  7.71453e-06
1  0  14.2934  5.6131  8.44575  5.59806  28.3446  7.22149  3728.79  61.7322  12.0953  7.87294  14.2068  6.23837  0.668843  13.9398  4.75886  6.03327  22.9038  9.33941  3.52491  8.25766  0.426279  0.00159552  0.00031887  0.000489654  0.0357371  6.45357e-05  4.69218e-05  7.40594e-07  5.1476e-06  3.45843e-05  6.65802e-06
2  0  10.2734  5.17278  14.7327  6.18129  13.0481  6.29532  3809.96  62.2201  5.30475  9.11461  3.31791  5.67654  1.06965  12.4219  5.17365  6.49951  0.886099  7.15103  9.45357  8.79785  0.409812  0.00114679  0.000556236  0.000225407  0.0365151  2.8304e-05  1.09583e-05  1.1844e-06  5.59627e-06  1.33799e-06  1.78563e-05
3  0  9.47104  5.00874  6.65759  5.11101  28.1802  7.63966  3821.55  62.5166  0.494689  9.45184  6.35801  5.48337  6.10417  12.5812  1.015  5.84428  0.00986199  6.30044  3.39169  7.45993  0.429325  0.00105722  0.000251358  0.000486815  0.0366261  2.63946e-06  2.0999e-05  6.759e-06  1.09791e-06  1.48914e-08  6.40638e-06
4  0  6.7664  5.27663  14.2926  5.85884  27.5528  7.28406  3889.32  64.9201  14.6275  10.6334  3.79548  5.65775  5.72763  12.4843  9.78259  6.414  4.62997  6.81874  2.20658  7.10295  0.410414  0.00075531  0.00053962  0.000475976  0.0372757  7.80463e-05  1.25356e-05  6.34207e-06  1.05817e-05  6.99117e-06  4.16789e-06
5  0  9.78027  5.33228  5.00829  5.25203  16.9057  6.54145  3851.79  62.6211  0.805977  8.47497  2.57557  5.8877  1.00955  12.0333  6.48984  5.88587  0.0872481  6.51184  1.0263  7.00986  0.415228  0.00109174  0.000189088  0.000292047  0.036916  4.30037e-06  8.50652e-06  1.11786e-06  7.01998e-06  1.31743e-07  1.93852e-06
6  0  9.89517  5.19454  11.6576  5.51245  15.8187  6.82348  3870.57  64.229  3.43675  9.85732  3.19519  6.01539  2.02921  11.8401  2.50639  6.09694  6.61074  7.35175  5.69529  7.11031  0.416473  0.00110456  0.000440135  0.000273269  0.037096  1.83371e-05  1.0553e-05  2.24689e-06  2.71113e-06  9.9821e-06  1.07575e-05
7  0  9.84242  5.25777  8.53301  5.73274  26.7481  7.75543  3844.67  63.1696  11.3616  10.5882  1.56669  5.46098  4.97998  12.4939  5.64428  5.92415  1.09584  7.03343  0.366117  7.26617  0.408921  0.00109868  0.000322165  0.000462075  0.0368477  6.06208e-05  5.1744e-06  5.51421e-06  6.10535e-06  1.6547e-06  6.91539e-07
8  0  15.7877  5.5159  14.5512  5.77779  18.6901  7.12257  3866.27  63.1463  0.0101956  8.9192  16.4921  6.09367  5.3497  16.9105  5.92568  6.51253  7.95131  8.17168  16.7776  9.50355  0.383387  0.00176233  0.000549383  0.000322873  0.0370548  5.43997e-08  5.44696e-05  5.9236e-06  6.40973e-06  1.20063e-05  3.16902e-05
9  0  7.44653  5.17149  12.7382  6.10469  18.3484  6.91055  3906.14  63.0248  1.76176  10.1735  75.5693  10.3259  4.32363  12.6133  16.0619  7.03022  9.01499  7.23935  1.69138  6.51121  0.39897  0.000831231  0.000480932  0.00031697  0.0374368  9.40002e-06  0.000249588  4.78746e-06  1.73739e-05  1.36125e-05  3.19475e-06
10  0  9.10039  4.49639  10.1019  4.99188  24.852  6.80518  4006.98  63.9203  7.58556  9.3778  52.6543  9.08619  1.575  19.391  14.3378  7.43795  19.1358  8.99627  9.04659  9.0187  0.428129  0.00101585  0.000381398  0.00042932  0.0384033  4.04735e-05  0.000173905  1.74396e-06  1.55091e-05  2.88947e-05  1.70876e-05
11  0  9.50993  5.25723  8.57658  5.75625  30.4602  7.85488  4032.4  64.1927  7.13245  8.95657  9.31825  5.80137  0.691497  13.0117  8.75924  6.54455  7.4677  7.3771  0.347257  7.21149  0.410184  0.00106156  0.00032381  0.000526202  0.038647  3.80559e-05  3.0776e-05  7.65679e-07  9.47475e-06  1.12761e-05  6.55914e-07
12  0  4.28159  4.91173  7.93421  5.22291  32.6567  7.83091  4099.71  64.6212  0.0231623  9.72315  7.9498  5.60878  7.49871  19.8082  6.79544  6.92172  8.76661  8.608  10.179  9.20892  0.378982  0.000477939  0.000299557  0.000564146  0.039292  1.23585e-07  2.62563e-05  8.30314e-06  7.35053e-06  1.32374e-05  1.92266e-05
13  0  12.9109  5.38246  18.9303  5.74335  23.4335  6.59488  3956.88  63.5003  17.9554  10.7538  3.49462  5.16676  4.72569  11.8996  3.1751  5.2767  7.52641  6.55348  14.7388  7.55799  0.434133  0.0014412  0.000714716  0.000404816  0.0379231  9.58026e-05  1.15419e-05  5.23265e-06  3.43446e-06  1.13647e-05  2.78392e-05
14  0  8.8397  4.90712  10.2435  5.80972  32.5543  8.13127  4064  64.2861  8.26072  9.71045  6.77407  5.93873  1.33565  18.448  0.547753  6.78062  7.20884  8.23813  11.9371  9.14355  0.382543  0.000986746  0.000386744  0.000562378  0.0389498  4.40759e-05  2.23732e-05  1.47893e-06  5.92497e-07  1.08852e-05  2.25473e-05
15  0  9.8472  5.37702  6.93483  5.46995  38.51  8.51601  4036.52  64.3886  17.3449  10.0516  4.56279  5.92055  1.72161  12.9932  4.68972  5.858  14.2186  7.95782  2.78196  7.6848  0.414659  0.00109921  0.000261825  0.000665262  0.0386864  9.25454e-05  1.50698e-05  1.9063e-06  5.07281e-06  2.14699e-05  5.2547e-06
16  0  18.1049  5.84414  15.5485  5.76092  25.7712  7.10441  4138.96  64.9407  23.1362  11.6252  6.26861  5.6071  0.889341  14.5754  18.8307  7.05879  13.5904  8.17457  2.07857  6.69589  0.37969  0.00202099  0.000587034  0.000445199  0.0396682  0.000123446  2.07038e-05  9.84746e-07  2.03689e-05  2.05212e-05  3.92611e-06
17  0  10.878  5.18922  7.93287  5.34031  52.8581  9.45971  4204.74  65.5597  22.5452  11.0082  13.4505  5.9898  0.397725  13.5365  4.09275  5.89681  19.6565  8.22153  9.14011  7.19597  0.392083  0.00121428  0.000299507  0.000913127  0.0402987  0.000120292  4.4424e-05  4.40391e-07  4.42708e-06  2.96809e-05  1.72642e-05
