row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  9.51553  5.88915  11.455  6.09542  75.9252  11.0668  5198.67  72.6879  0.831503  9.18793  2.48398  5.50755  3.38773  14.2364  13.7215  7.11973  21.3035  9.17314  0.901678  7.289  0.412027  0.00106219  0.000432484  0.00131161  0.0498246  4.43656e-06  8.20402e-06  3.75116e-06  1.48423e-05  3.21679e-05  1.70313e-06
1  0  1.55942  4.54989  4.5988  5.53052  57.1547  9.86021  5250.65  72.973  11.2753  9.51669  2.34092  5.17842  7.74287  14.401  14.1752  7.0362  28.1269  9.7992  12.0934  8.24264  0.29656  0.000174072  0.000173628  0.000987351  0.0503227  6.01606e-05  7.73152e-06  8.5735e-06  1.53332e-05  4.24712e-05  2.28426e-05
2  0  4.99202  4.48561  8.25441  5.59685  43.5703  8.83537  5138.19  72.0693  12.9029  8.20354  4.73829  4.55532  9.54932  18.2732  23.543  8.01299  2.09395  8.222  8.69507  9.497  0.348257  0.000557242  0.000311646  0.000752679  0.049245  6.88447e-05  1.56495e-05  1.05737e-05  2.54661e-05  3.16183e-06  1.64236e-05
3  0  2.74934  4.42239  4.40356  5.8203  14.7154  7.12104  5172.38  72.4983  11.7644  8.65687  1.29876  4.95981  0.121789  16.0037  25.7548  8.20674  22.5896  9.68315  15.1483  9.73788  0.286525  0.0003069  0.000166257  0.000254209  0.0495726  6.27701e-05  4.28951e-06  1.34854e-07  2.78587e-05  3.41098e-05  2.86128e-05
4  0  4.27266  3.80152  8.51377  4.88331  51.535  8.44835  5026.7  71.1165  19.7319  7.44478  3.40025  4.45434  0.550146  15.4122  5.79262  7.3445  1.24374  8.46244  1.54766  8.84841  0.393662  0.000476943  0.000321439  0.00089027  0.0481764  0.000105281  1.12302e-05  6.09164e-07  6.2658e-06  1.87803e-06  2.92329e-06
5  0  4.9283  4.9367  6.43301  6.28304  32.9421  8.96069  5145.43  72.3668  7.21384  9.31521  5.85886  5.18539  16.9887  16.1016  17.7868  8.51448  18.7422  9.35903  14.8057  9.8653  0.331378  0.000550129  0.000242879  0.000569077  0.0493143  3.84901e-05  1.93505e-05  1.88112e-05  1.92398e-05  2.83003e-05  2.79656e-05
6  0  5.19655  4.43773  5.11077  5.52357  41.9571  9.0816  5111.9  72.1466  3.35389  8.95581  2.50872  4.83685  5.11324  16.742  17.6522  7.7152  18.7895  8.89216  23.0098  9.34814  0.307862  0.000580074  0.000192958  0.000724812  0.048993  1.7895e-05  8.28573e-06  5.66177e-06  1.90941e-05  2.83717e-05  4.3462e-05
7  0  11.9523  5.50597  12.2068  6.73395  35.3309  8.90771  5132.76  72.1184  8.19137  9.46502  4.33136  4.84394  3.58723  17.6685  23.2093  8.63892  29.6718  9.69675  23.9382  9.87391  0.321203  0.0013342  0.000460869  0.000610344  0.0491929  4.37058e-05  1.43055e-05  3.97206e-06  2.51052e-05  4.48039e-05  4.52156e-05
8  0  12.0253  5.77439  29.1725  8.11298  46.7067  9.21548  5057.61  71.7163  1.21306  10.3219  7.44104  5.03174  18.8145  13.5999  28.6118  8.81909  18.6473  8.9817  8.62726  8.17087  0.3739  0.00134235  0.00110141  0.000806861  0.0484726  6.47241e-06  2.4576e-05  2.08329e-05  3.0949e-05  2.8157e-05  1.62956e-05
9  0  70.2304  10.5712  197.619  16.7347  163.771  16.3199  5077.49  72.3656  27.0102  12.319  55.695  9.13144  8.32696  17.4687  382.727  22.3692  29.1423  10.6034  58.8121  12.1356  0.306481  0.00783958  0.00746112  0.00282915  0.0486632  0.000144115  0.000183948  9.22025e-06  0.000413991  4.40044e-05  0.000111087
10  0  4.0078  5.19185  34.1159  8.9241  51.8558  10.1189  5341.61  74.6008  5.45102  10.1204  8.51011  5.44497  5.80563  17.2671  64.1741  10.9513  29.6823  9.4425  23.7989  9.26324  0.316838  0.000447377  0.00128805  0.000895811  0.0511945  2.90844e-05  2.81069e-05  6.42844e-06  6.94162e-05  4.48197e-05  4.49525e-05
11  0  21.7103  6.83127  74.6238  11.2432  82.9363  12.1254  5216.2  72.9791  27.0787  12.1086  9.06468  5.7599  10.3233  19.3792  106.342  13.4164  33.1643  10.269  11.9967  9.59927  0.306927  0.00242345  0.00281743  0.00143273  0.0499926  0.000144481  2.99385e-05  1.14307e-05  0.000115029  5.00774e-05  2.266e-05
12  0  3.87483  5.33607  11.5309  6.67081  56.0017  10.3588  5223.07  72.7853  8.02259  9.12217  6.64712  5.06779  8.35689  13.8287  20.0679  8.12359  18.1543  8.96005  6.15226  8.64914  0.286012  0.000432534  0.000435352  0.000967432  0.0500584  4.28053e-05  2.19539e-05  9.25338e-06  2.17072e-05  2.74127e-05  1.16207e-05
13  0  3.66646  4.23242  26.2993  7.47555  35.1484  8.6657  5243.41  72.8969  2.8439  9.1689  4.036  4.67316  13.2917  20.1304  20.7251  8.80474  28.8979  10.3753  11.3102  8.89587  0.310006  0.000409274  0.000992932  0.00060719  0.0502534  1.51739e-05  1.333e-05  1.47176e-05  2.24181e-05  4.36353e-05  2.13632e-05
14  0  11.9225  5.88538  4.91194  5.91158  38.8475  8.67289  5169.76  72.3905  0.27929  9.79647  5.56879  5.20784  5.24282  11.6309  3.59144  5.80521  4.13131  7.51845  2.04104  7.22129  0.29556  0.00133086  0.000185451  0.000671093  0.0495475  1.49018e-06  1.83924e-05  5.80525e-06  3.88481e-06  6.2382e-06  3.85521e-06
15  0  4.44977  4.63722  12.7966  6.24303  33.2639  8.35995  5237.43  72.7688  13.2028  8.35671  5.99863  5.19823  9.17049  16.4471  18.3803  7.71261  19.9644  9.21822  4.09323  8.43652  0.299397  0.000496712  0.000483136  0.000574636  0.050196  7.04448e-05  1.98121e-05  1.01543e-05  1.98817e-05  3.01458e-05  7.73148e-06
16  0  3.53197  4.16168  4.26708  5.64673  33.5033  8.25621  5182.24  72.4577  7.8243  8.93594  1.18486  4.79914  18.3404  20.4452  2.53178  6.90024  20.3147  10.2263  9.86385  9.83497  0.293295  0.000394262  0.000161104  0.000578771  0.0496671  4.17473e-05  3.9133e-06  2.03079e-05  2.7386e-06  3.06749e-05  1.86313e-05
17  0  6.33024  4.8741  14.4593  6.79008  34.7481  8.60045  5233.07  72.7875  11.6682  8.31661  0.510977  4.59695  7.65822  14.0658  1.3603  6.31647  15.2421  8.40251  0.189051  7.89849  0.283738  0.000706623  0.000545914  0.000600275  0.0501543  6.2257e-05  1.68764e-06  8.47977e-06  1.47142e-06  2.30153e-05  3.57089e-07
18  0  12.0162  5.83812  14.6148  6.78265  48.485  9.41034  5188.51  72.5944  0.679221  9.89024  4.18337  4.8596  0.305637  13.5918  8.75124  6.93137  5.6266  6.99727  18.6361  9.47139  0.308871  0.00134133  0.000551783  0.000837581  0.0497272  3.62405e-06  1.38167e-05  3.38424e-07  9.4661e-06  8.49606e-06  3.52008e-05
19  0  6.03775  5.30271  7.94209  5.9679  33.4546  8.24841  5136.34  72.3509  7.56751  8.40246  1.57325  4.83339  8.4332  11.8204  7.68041  6.85658  4.57659  7.11463  9.91138  7.86609  0.324388  0.000673974  0.000299855  0.00057793  0.0492272  4.03772e-05  5.19607e-06  9.33788e-06  8.3078e-06  6.91057e-06  1.87211e-05
20  0  14.608  5.82597  9.92802  6.00608  84.1302  11.5631  5116.89  72.0819  0.191585  9.57698  2.68293  5.18961  1.12208  11.6482  2.49899  6.6669  2.12598  7.81613  1.3118  7.92106  0.301797  0.00163064  0.000374834  0.00145335  0.0490408  1.02222e-06  8.86109e-06  1.24245e-06  2.70312e-06  3.21018e-06  2.47779e-06
21  0  9.34883  5.55789  7.38202  6.53149  93.89  12.2582  5117.6  72.0824  5.60708  10.1686  2.03983  4.94682  2.18094  12.4363  10.1282  6.39529  0.782206  7.31749  4.97179  8.54328  0.301002  0.00104358  0.000278709  0.00162195  0.0490476  2.99171e-05  6.7371e-06  2.4149e-06  1.09556e-05  1.18112e-06  9.39095e-06
22  0  4.12135  5.16635  9.3962  6.45107  81.0357  11.5192  5268.87  73.1654  11.7684  9.01202  7.1594  5.06965  4.6096  20.0716  0.458518  6.34507  26.2052  9.90571  17.9086  9.61179  0.317531  0.000460052  0.000354754  0.0013999  0.0504974  6.27914e-05  2.36458e-05  5.10411e-06  4.95973e-07  3.95693e-05  3.38266e-05
23  0  1.12483  5.02931  7.16357  6.48227  104.817  12.891  5229.66  72.9768  9.05424  9.07597  18.6959  6.65529  15.8261  18.4963  12.6397  7.95754  41.4045  11.0116  20.9114  9.87919  0.317246  0.000125561  0.000270461  0.00181071  0.0501215  4.83098e-05  6.17481e-05  1.75239e-05  1.36722e-05  6.252e-05  3.94984e-05
24  0  8.85202  5.27371  12.2965  6.15018  103.706  12.4846  5228.13  72.9732  6.57772  10.081  9.00616  5.19039  7.29145  12.8091  8.11755  6.30437  20.7905  9.14839  6.90715  8.24162  0.309058  0.000988121  0.000464257  0.00179153  0.050107  3.50961e-05  2.97453e-05  8.07365e-06  8.78064e-06  3.13932e-05  1.30465e-05
25  0  5.78899  4.92197  9.27682  6.21164  135.798  13.8829  5235.77  73.073  5.0903  10.0417  6.34086  5.34051  17.584  14.5839  1.18832  6.79682  17.769  8.67242  6.36685  9.57658  0.318022  0.000646205  0.000350248  0.00234592  0.0501801  2.71598e-05  2.09424e-05  1.94704e-05  1.28539e-06  2.68309e-05  1.2026e-05
26  0  8.94975  4.98959  7.85804  5.90359  147  14.6086  5133.16  72.5663  22.5067  11.7822  0.785872  5.24051  0.684621  13.9337  1.27009  5.71257  7.38969  7.82535  6.24803  8.63956  0.316465  0.00099903  0.000296681  0.00253944  0.0491968  0.000120087  2.59555e-06  7.58065e-07  1.37384e-06  1.11583e-05  1.18016e-05
27  0  3.8458  4.32861  6.1441  5.64666  139.368  14.1717  5184.58  72.6751  10.3944  10.4098  7.34035  5.1221  7.02601  18.8434  0.586803  7.1765  16.8865  9.70583  5.79831  9.65324  0.317504  0.000429294  0.000231971  0.00240759  0.0496896  5.54604e-05  2.42435e-05  7.77974e-06  6.34738e-07  2.54983e-05  1.09521e-05
28  0  8.16554  4.97406  10.3534  5.74628  121.825  13.1942  5284.22  73.2299  6.32311  10.6345  1.89417  5.0101  17.0162  18.562  1.48891  6.509  10.4423  9.47025  5.85064  9.11032  0.301069  0.000911492  0.000390896  0.00210454  0.0506445  3.37376e-05  6.256e-06  1.88417e-05  1.61053e-06  1.57676e-05  1.1051e-05
29  0  7.91718  4.96919  5.58288  5.84383  118.364  12.9446  5172.24  72.4975  4.34187  9.69004  3.30933  5.21349  9.5339  19.5127  1.44862  6.07751  16.971  9.54472  22.6238  10.5212  0.301889  0.000883768  0.000210782  0.00204475  0.0495713  2.31665e-05  1.09299e-05  1.05567e-05  1.56695e-06  2.56259e-05  4.27328e-05
30  0  8.04526  5.42029  5.20191  5.82209  89.2408  11.9171  5196.15  72.6054  4.42405  9.65458  3.56366  4.94784  5.48901  11.8134  2.12641  5.89078  9.4425  7.68951  8.80816  8.49293  0.302  0.000898066  0.000196399  0.00154164  0.0498005  2.3605e-05  1.177e-05  6.07786e-06  2.30011e-06  1.4258e-05  1.66372e-05
31  0  2.94143  4.77615  14.3164  6.40791  80.5791  11.2974  5253.25  73.1074  7.86505  9.65719  7.37826  5.03111  17.776  15.6906  5.18731  6.90179  4.91657  8.14429  4.8285  8.04497  0.306538  0.000328342  0.000540517  0.00139201  0.0503477  4.19648e-05  2.43687e-05  1.96829e-05  5.61104e-06  7.42393e-06  9.12029e-06
32  0  12.2807  5.57554  12.939  5.91986  49.0769  9.56699  5206.38  72.6516  9.36459  9.46834  2.52189  4.75814  5.79605  17.46  1.36759  6.25379  22.4871  9.4367  0.152377  8.33087  0.304437  0.00137085  0.000488513  0.000847806  0.0498985  4.99657e-05  8.3292e-06  6.41783e-06  1.47931e-06  3.39552e-05  2.87817e-07
33  0  5.87851  4.7413  4.69743  5.60644  53.9797  9.60932  5233.69  72.9192  4.07112  8.49644  4.31098  5.24247  12.901  15.2255  1.15114  6.08715  14.0113  9.27929  13.7729  9.7636  0.310848  0.000656198  0.000177352  0.000932503  0.0501602  2.17219e-05  1.42381e-05  1.42849e-05  1.24517e-06  2.11568e-05  2.60149e-05
34  0  7.78848  5.06953  0.820261  4.8513  42.7587  9.04251  5232.4  72.8132  4.40923  9.31374  1.18909  4.86772  6.76204  16.2045  3.7681  6.1156  15.3507  8.46836  5.01074  8.43802  0.294657  0.000869402  3.09691e-05  0.000738658  0.0501479  2.35259e-05  3.9273e-06  7.48745e-06  4.0759e-06  2.31793e-05  9.46451e-06
35  0  11.4615  5.07097  15.0067  6.5272  39.9703  8.90256  5134.46  72.6195  1.34391  9.76111  0.649189  4.8916  8.85506  13.4913  9.69141  6.37783  5.88733  8.12465  9.64818  8.40528  0.282574  0.0012794  0.000566581  0.000690489  0.0492092  7.17055e-06  2.14412e-06  9.805e-06  1.04831e-05  8.88975e-06  1.82239e-05
36  0  6.88026  4.77489  10.6079  5.9571  46.9229  9.32359  5078.61  71.7417  0.00091804  9.12421  3.58045  5.15742  8.51223  15.5857  3.63432  6.81792  0.971321  7.83787  28.4501  10.763  0.315061  0.00076802  0.000400503  0.000810596  0.0486739  4.89829e-09  1.18254e-05  9.42539e-06  3.9312e-06  1.46668e-06  5.37379e-05
37  0  3.23983  4.93567  20.8121  7.2406  37.712  8.9656  5326.96  73.4943  5.62557  9.39218  1.04323  4.75341  11.9217  17.4169  2.71526  7.09442  2.05871  8.16282  3.36742  9.56092  0.304372  0.000361651  0.000785764  0.000651477  0.0510541  3.00158e-05  3.44554e-06  1.32006e-05  2.93706e-06  3.10861e-06  6.36053e-06
38  0  8.26874  5.68863  35.9203  8.39635  47.7166  9.74679  5136.01  72.2834  4.59682  9.90164  4.42438  5.04875  1.66207  15.0395  34.0981  8.98078  6.34119  8.21124  2.99716  8.4306  0.295724  0.000923012  0.00135617  0.000824307  0.049224  2.45268e-05  1.46127e-05  1.84037e-06  3.68834e-05  9.57507e-06  5.66118e-06
39  0  17.7545  5.81289  31.7724  7.87761  53.1359  9.54936  5193.33  72.5954  2.85136  8.86117  7.37413  5.27514  0.229637  17.3362  32.3901  9.16269  8.9296  8.75537  11.159  9.01133  0.301206  0.00198187  0.00119957  0.000917925  0.0497734  1.52137e-05  2.4355e-05  2.54271e-07  3.50359e-05  1.34835e-05  2.10775e-05
40  0  3.27583  6.22725  136.818  14.4555  118.467  14.2889  5157.61  72.8239  30.3465  12.2901  17.668  5.86237  20.8075  19.0479  193.486  16.6432  5.76166  8.45552  50.5886  11.3189  0.328483  0.00036567  0.00516558  0.00204653  0.0494311  0.000161916  5.83532e-05  2.30396e-05  0.000209291  8.69999e-06  9.55541e-05
41  0  58.5795  9.96069  192.979  16.5678  157.513  16.1059  5136.44  72.7835  37.1346  13.0892  34.2724  7.6241  1.91704  16.3161  288.855  19.6489  5.21786  8.33313  44.7367  11.6501  0.313608  0.00653903  0.00728593  0.00272104  0.0492282  0.000198135  0.000113194  2.12269e-06  0.000312451  7.87886e-06  8.45007e-05
42  0  50.2855  9.48235  133.478  14.4195  143.293  15.3636  5075.54  72.2711  38.1889  13.1761  39.0159  8.26108  6.96184  16.5329  243.677  18.3908  8.16399  8.65999  40.9771  11.1018  0.291684  0.0056132  0.00503949  0.0024754  0.0486445  0.000203761  0.000128861  7.70868e-06  0.000263582  1.23275e-05  7.73994e-05
