row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  28.5059  13.0227  69.398  15.5771  342.02  23.529  28190.1  169.614  431.091  35.0991  62.6832  14.6297  17.2859  35.7305  149.793  21.7602  74.5553  21.4058  15.7772  18.5021  1.35846
1  0  44.0825  14.12  77.0227  16.0826  271.265  21.9272  29001.4  173.305  220.853  29.2166  0.41586  9.84015  67.7979  37.946  121.697  20.0544  19.176  18.8616  0.411999  17.6049  1.37693
2  0  20.7258  12.6112  91.9853  16.1839  236.626  20.66  29338.4  172.773  225.855  29.7583  0.260175  8.99355  6.23963  45.9165  105.282  21.7257  67.82  22.1278  4.6097  19.5899  1.42649
3  0  8.50531  11.7535  110.723  16.592  305.733  22.7131  29290.6  172.518  294.757  31.455  33.4528  11.9124  28.29  39.8091  126.148  21.1684  43.1938  20.2216  0.280148  18.1112  1.26907
4  0  80.7775  15.8224  103.32  17.6443  245.075  21.912  29229.3  172.804  484.292  36.9238  113.098  16.9218  52.3017  49.8728  273.791  26.1038  55.1477  22.1438  15.7918  21.2519  1.3212
5  0  32.8274  14.2457  139.59  18.5571  258.246  22.184  28941.3  171.785  369.12  33.7982  52.3963  13.2498  22.2405  40.7499  148.3  22.6548  62.7154  21.3642  8.78955  18.3622  1.40138
6  0  67.0069  14.8164  189.036  19.757  264.689  22.1999  28783.4  171.36  464.038  35.8801  18.1204  12.4488  27.7681  36.5275  252.031  25.2113  15.5574  18.6868  5.92028  17.7137  1.25784
7  0  65.8935  15.8195  195.724  20.4886  316.852  24.0287  28892.8  172.035  579.746  38.1698  165.752  18.4218  35.3153  43.4017  261.281  25.8621  47.5035  20.874  63.1797  20.5037  1.18957
8  0  90.5926  16.5267  171.762  19.6778  252.198  22.1572  28503.2  171.529  679.808  40.0532  96.7082  15.0495  47.9001  39.1695  289.338  24.6601  37.0849  20.956  26.0783  19.9461  1.34715
9  0  83.8404  16.4123  180.605  20.3991  163.217  19.6537  29376.4  175.17  650.428  39.7851  9.13295  12.4622  19.0508  37.1198  157.956  22.9578  51.9704  20.322  27.0646  18.5837  1.38121
10  0  55.9454  15.6511  190.934  20.5781  242.388  22.2567  28826  171.92  607.577  38.7541  20.3988  13.2183  16.5383  44.1168  237.006  24.5631  29.1189  19.9932  22.7131  19.6362  1.21976
11  0  77.5702  15.8031  217.129  20.9056  289.268  22.9063  29015.5  172.578  714.488  39.9084  10.8652  10.6178  51.0012  48.5717  209.21  24.836  60.7316  22.4152  0.2683  20.797  1.20988
12  0  47.4773  15.3784  243.988  22.746  275.25  23.6576  28888.9  172.355  756.206  42.0769  80.3976  15.7789  74.2641  41.069  212.515  24.2278  9.42247  19.2798  5.93274  18.2759  1.23119
13  0  100.632  17.0599  252.551  22.2126  247.404  22.3076  29026.1  173.521  1029.29  45.3457  70.6589  16.3549  41.6559  41.3947  234.014  24.8267  46.1756  20.6527  1.41238  18.59  1.26785
14  0  113.846  18.0009  352.274  25.3119  253.421  23.2306  28596.8  171.943  1304.22  48.5573  7.10169  13.7324  20.4097  40.4777  314.943  27.2018  15.414  19.2616  25.9696  19.754  1.26568
15  0  1251.4  43.2327  3025.21  62.8453  502.328  36.4042  28290.1  175.788  12986.8  125.884  262.921  33.707  74.6559  33.0297  3110.34  66.3888  127.39  26.1628  549.93  34.7167  1.13575
16  0  2628.73  60.8456  6253.54  88.6018  957.012  49.294  27325.1  176.391  31107.9  188.828  568.46  50.5214  105.275  27.0045  6901.43  94.7437  312.598  32.2808  1398.85  48.2809  1.29278
17  0  1464.44  45.8337  3661.99  68.1763  573.072  38.4691  28211.3  176.143  15455.6  136.467  319.473  36.7481  31.7422  30.6844  3569.85  70.2373  156.457  27.0488  681.837  37.2362  1.25921
18  0  2661.32  60.9804  6310.23  88.7184  898.465  48.2021  27159  175.465  30998.8  188.288  694.403  51.8182  108.146  28.8063  7763.8  100.568  311.559  32.3248  1579.77  50.4496  1.23419
19  0  2264.89  56.2792  5847.68  84.8201  686.887  43.4974  27418.2  175.243  23537.4  165.548  568.439  46.1853  110.799  28.5667  8032.64  100.34  344.618  32.6494  1351.41  47.7823  1.29353
20  0  1845.13  50.9708  4623.06  75.8446  534.286  39.1212  27902.5  175.626  17439.7  144.039  426.578  40.0114  58.4687  28.6026  6161.21  87.4307  195.419  28.1412  968.789  41.4148  1.15143
21  0  1589.75  47.7667  4452.36  74.3713  536.905  38.5638  27865.7  175.268  14847.1  134.153  324.499  38.1796  36.8718  29.4819  7385.99  94.5667  278.442  30.2808  932.841  40.9937  1.3655
22  0  140.863  19.4065  432.983  27.3268  273.485  24.2897  28977.3  173.757  1511.04  52.1958  34.036  16.4222  35.5206  45.9452  527.414  31.5457  60.7203  21.6572  54.6494  21.2526  1.1804
23  0  627.062  32.3039  1721.94  48.4112  315.897  29.771  28683  175.184  6214.3  91.2616  199.264  27.2004  71.179  40.4443  1399.28  47.4716  63.9354  24.6583  139.298  26.002  1.2265
24  0  2532.93  59.8268  6667.32  90.8263  1011.88  49.8943  27060.3  175.132  26376.9  175.209  752.595  51.1461  81.372  28.1139  9283.65  105.811  349.27  32.5489  1410.59  48.2614  1.25217
25  0  620.923  31.7728  1726.93  47.9846  337.688  29.4317  28671.1  174.828  6228.42  90.7422  168.842  26.7167  32.0353  40.7763  2479.4  58.1428  83.7984  24.1162  161.524  25.9208  1.25827
26  0  1378.87  44.9933  3790.95  69.2991  634.661  39.723  27743.2  174.682  14047.8  131.103  453.99  38.9671  62.3049  29.8314  7050.3  92.4294  130.107  27.1451  774.155  39.0083  1.23246
27  0  938.027  38.2762  2556.01  58.0792  566.121  36.5871  28083.8  174.463  8629.56  105.475  296.023  32.6566  94.086  36.1373  3209.45  65.3774  104.628  25.2402  534.778  34.4972  1.1527
28  0  1596.72  47.8896  4085.85  71.7672  822.847  42.6372  27575.8  174.028  11268.5  119.271  499.217  37.84  57.7704  32.1676  6140.94  86.337  283.774  30.0198  887.04  40.0489  1.27228
29  0  1237.56  42.1279  3147.69  63.153  707.023  38.814  27957.4  174.143  7150.42  97.2526  237.032  30.5456  48.5777  34.9003  3989.41  71.1251  167.643  27.3324  608.965  35.4001  1.31533
30  0  1999.43  54.3261  5643.09  84.8157  1792.05  57.6411  26670.5  173.967  18154.3  148.133  644.534  45.8851  139.385  30.1866  12479.6  119.785  350.159  35.1063  1719.01  53.0088  1.1439
31  0  83.6646  17.077  203.215  21.0902  425.72  26.7443  28883.8  172.536  1208.19  47.938  22.3574  14.1341  40.92  46.2381  269.631  26.2755  59.7125  22.4627  0.92978  19.8012  1.372
32  0  63.2026  16.1672  170.782  20.7587  462.929  28.3107  28921.7  173.289  1544.44  52.7334  5.24185  15.0312  74.9055  37.1304  198.709  24.2779  53.3609  20.7611  39.1384  19.7408  1.26977
33  0  39.8737  15.6925  173.581  21.1577  652.399  31.9994  28484.9  173.495  1956.85  57.6296  40.4289  15.5227  5.21496  37.4281  128.883  21.5139  52.0831  20.6423  1.01636  17.9563  1.17442
34  0  43.9559  15.6593  144.703  20.2671  670.098  32.0987  28951.8  173.436  2066.93  60.1668  12.4664  15.3222  19.49  37.0856  139.96  21.0106  80.3477  21.154  27.9162  16.4005  1.38108
35  0  62.3758  15.8786  178.878  20.7906  740.602  33.2388  28522.1  172.725  2195.85  59.3863  20.0476  14.7014  90.4589  40.2584  100.721  21.2628  53.128  21.7546  27.6596  20.6184  1.29841
36  0  57.9958  16.2441  169.268  21.5658  1075.05  38.8985  28458.2  173.188  3448.51  71.6215  23.0059  17.7744  97.8063  40.9792  171.456  23.3085  76.457  23.7376  11.2505  20.9776  1.21836
37  0  22.9366  14.8314  129.095  20.2887  954.709  37.5245  28714.4  173.928  2634.38  64.4795  3.29044  15.4814  30.555  40.5543  178.978  23.9167  109.81  23.2178  10.7103  20.1277  1.23179
38  0  67.6892  16.4065  83.1665  18.7498  889.827  36.1421  28435.4  173.102  2374.68  62.1793  18.0142  17.1407  31.3459  39.5294  154.331  22.5308  6.46411  20.2636  17.1837  19.7003  1.2879
39  0  76.4687  16.0996  146.331  19.8276  975.421  37.2874  28289.4  172.564  2451.58  62.7975  7.84311  16.1767  32.2973  38.3702  160.095  23.2094  31.597  20.2973  1.97067  19.5736  1.19744
40  0  31.9933  14.6206  107.21  19.2539  903.111  36.3517  28367.4  172.151  2558.18  63.4601  40.3269  17.297  14.8338  35.9499  136.548  21.9074  68.4102  21.8962  2.61453  17.2141  1.19624
41  0  22.9799  14.9116  84.9559  19.2067  1031.65  38.6869  27971.2  172.612  2332.97  62.4021  17.6176  17.5297  34.484  35.076  110.341  21.0391  52.244  21.327  6.56195  17.8122  1.12239
